
--- RSI|VP-buy m1% (346 entries, 5457%) ---
   BUY | 2018-01-03 02:00 | $    14,848 | Cap: $    10,000 | RSI>75
  SELL | 2019-06-03 09:00 | $     8,457 | Cap: $    17,349 | RSI<30
   BUY | 2019-06-07 16:00 | $     7,928 | Cap: $    17,349 | RSI>75
  SELL | 2019-06-09 18:00 | $     7,634 | Cap: $    16,706 | RSI<30
   BUY | 2019-06-10 20:00 | $     7,948 | Cap: $    16,706 | RSI>75
  SELL | 2019-06-27 16:00 | $    11,830 | Cap: $    24,867 | RSI<30
   BUY | 2019-06-28 20:00 | $    12,367 | Cap: $    24,867 | VP>VAH+1%(7d)
  SELL | 2019-06-30 23:00 | $    11,011 | Cap: $    22,142 | RSI<30
   BUY | 2019-07-03 02:00 | $    11,353 | Cap: $    22,142 | RSI>75
  SELL | 2019-07-10 22:00 | $    11,970 | Cap: $    23,344 | RSI<30
   BUY | 2019-07-20 20:00 | $    10,899 | Cap: $    23,344 | RSI>75
  SELL | 2019-07-21 17:00 | $    10,356 | Cap: $    22,181 | RSI<30
   BUY | 2019-07-27 01:00 | $    10,142 | Cap: $    22,181 | RSI>75
  SELL | 2019-07-27 22:00 | $     9,520 | Cap: $    20,819 | RSI<30
   BUY | 2019-07-31 14:00 | $     9,955 | Cap: $    20,819 | VP>VAH+1%(7d)
  SELL | 2019-08-10 18:00 | $    11,383 | Cap: $    23,806 | RSI<30
   BUY | 2019-08-19 08:00 | $    10,725 | Cap: $    23,806 | VP>VAH+1%(7d)
  SELL | 2019-08-21 05:00 | $    10,210 | Cap: $    22,664 | RSI<30
   BUY | 2019-09-02 14:00 | $     9,889 | Cap: $    22,664 | RSI>75
  SELL | 2019-09-07 09:00 | $    10,385 | Cap: $    23,800 | RSI<30
   BUY | 2019-09-12 14:00 | $    10,336 | Cap: $    23,800 | RSI>75
  SELL | 2019-09-16 13:00 | $    10,148 | Cap: $    23,368 | RSI<30
   BUY | 2019-09-20 01:00 | $    10,224 | Cap: $    23,368 | RSI>75
  SELL | 2019-09-21 10:00 | $    10,000 | Cap: $    22,856 | RSI<30
   BUY | 2019-10-01 03:00 | $     8,412 | Cap: $    22,856 | RSI>75
  SELL | 2019-10-05 15:00 | $     8,033 | Cap: $    21,824 | RSI<30
   BUY | 2019-10-07 16:00 | $     8,177 | Cap: $    21,824 | RSI>75
  SELL | 2019-10-12 02:00 | $     8,310 | Cap: $    22,178 | RSI<30
   BUY | 2019-10-20 20:00 | $     8,235 | Cap: $    22,178 | RSI>75
  SELL | 2019-10-23 04:00 | $     7,954 | Cap: $    21,420 | RSI<30
   BUY | 2019-10-25 16:00 | $     8,263 | Cap: $    21,420 | RSI>75
  SELL | 2019-10-26 23:00 | $     9,149 | Cap: $    23,717 | RSI<30
   BUY | 2019-10-27 | $     9,230 | Cap: $    23,717 | VP>VAH+1%(7d)
  SELL | 2019-10-29 | $     9,204 | Cap: $    23,652 | RSI<30
   BUY | 2019-10-29 01:00 | $     9,268 | Cap: $    23,652 | VP>VAH+1%(7d)
  SELL | 2019-11-03 11:00 | $     9,142 | Cap: $    23,331 | RSI<30
   BUY | 2019-11-04 21:00 | $     9,448 | Cap: $    23,331 | VP>VAH+1%(7d)
  SELL | 2019-11-07 10:00 | $     9,226 | Cap: $    22,783 | RSI<30
   BUY | 2019-11-10 23:00 | $     9,082 | Cap: $    22,783 | RSI>75
  SELL | 2019-11-11 14:00 | $     8,723 | Cap: $    21,882 | RSI<30
   BUY | 2019-11-26 03:00 | $     7,136 | Cap: $    21,882 | RSI>75
  SELL | 2019-11-27 10:00 | $     6,887 | Cap: $    21,116 | RSI<30
   BUY | 2019-11-27 17:00 | $     7,474 | Cap: $    21,116 | VP>VAH+1%(7d)
  SELL | 2019-12-01 01:00 | $     7,481 | Cap: $    21,135 | RSI<30
   BUY | 2019-12-01 02:00 | $     7,395 | Cap: $    21,135 | VP>VAH+1%(7d)
  SELL | 2019-12-01 03:00 | $     7,312 | Cap: $    20,898 | RSI<30
   BUY | 2019-12-18 21:00 | $     7,112 | Cap: $    20,898 | RSI>75
  SELL | 2019-12-30 17:00 | $     7,257 | Cap: $    21,326 | RSI<30
   BUY | 2020-01-05 04:00 | $     7,476 | Cap: $    21,326 | VP>VAH+1%(7d)
  SELL | 2020-01-08 22:00 | $     8,017 | Cap: $    22,870 | RSI<30
