
--- RSI|VP-buy m1% (346 entries, 5457%) ---
   BUY | 2020-06-22 18:00 | $     9,587 | Cap: $    32,698 | RSI>75
  SELL | 2020-06-24 11:00 | $     9,378 | Cap: $    31,985 | RSI<30
   BUY | 2020-07-06 07:00 | $     9,224 | Cap: $    31,985 | RSI>75
  SELL | 2020-07-09 16:00 | $     9,209 | Cap: $    31,930 | RSI<30
   BUY | 2020-07-21 08:00 | $     9,315 | Cap: $    31,930 | RSI>75
  SELL | 2020-08-02 23:00 | $    11,118 | Cap: $    38,110 | RSI<30
   BUY | 2020-08-05 13:00 | $    11,563 | Cap: $    38,110 | RSI>75
  SELL | 2020-08-07 18:00 | $    11,537 | Cap: $    38,023 | RSI<30
   BUY | 2020-08-17 16:00 | $    12,422 | Cap: $    38,023 | RSI>75
  SELL | 2020-08-19 | $    11,945 | Cap: $    36,563 | RSI<30
   BUY | 2020-08-23 02:00 | $    11,645 | Cap: $    36,563 | RSI>75
  SELL | 2020-08-25 07:00 | $    11,613 | Cap: $    36,463 | RSI<30
   BUY | 2020-09-14 14:00 | $    10,644 | Cap: $    36,463 | RSI>75
  SELL | 2020-09-20 13:00 | $    10,851 | Cap: $    37,172 | RSI<30
   BUY | 2020-09-24 17:00 | $    10,672 | Cap: $    37,172 | RSI>75
  SELL | 2020-09-29 | $    10,696 | Cap: $    37,255 | RSI<30
   BUY | 2020-10-08 15:00 | $    10,912 | Cap: $    37,255 | RSI>75
  SELL | 2020-10-13 19:00 | $    11,378 | Cap: $    38,845 | RSI<30
   BUY | 2020-10-19 16:00 | $    11,800 | Cap: $    38,845 | RSI>75
  SELL | 2020-10-28 15:00 | $    13,069 | Cap: $    43,024 | RSI<30
   BUY | 2020-11-04 | $    14,024 | Cap: $    43,024 | RSI>75
  SELL | 2020-11-07 19:00 | $    14,928 | Cap: $    45,798 | RSI<30
   BUY | 2020-11-08 17:00 | $    15,388 | Cap: $    45,798 | RSI>75
  SELL | 2020-11-22 12:00 | $    17,892 | Cap: $    53,250 | RSI<30
   BUY | 2020-11-24 15:00 | $    19,384 | Cap: $    53,250 | RSI>75
  SELL | 2020-11-26 04:00 | $    17,928 | Cap: $    49,249 | RSI<30
   BUY | 2020-11-30 14:00 | $    19,151 | Cap: $    49,249 | RSI>75
  SELL | 2020-12-08 23:00 | $    18,336 | Cap: $    47,153 | RSI<30
   BUY | 2020-12-13 08:00 | $    19,249 | Cap: $    47,153 | RSI>75
  SELL | 2021-01-04 10:00 | $    31,038 | Cap: $    76,032 | RSI<30
   BUY | 2021-01-06 05:00 | $    35,327 | Cap: $    76,032 | RSI>75
  SELL | 2021-01-11 03:00 | $    36,364 | Cap: $    78,265 | RSI<30
   BUY | 2021-01-13 22:00 | $    37,291 | Cap: $    78,265 | RSI>75
  SELL | 2021-01-15 16:00 | $    35,611 | Cap: $    74,738 | RSI<30
   BUY | 2021-01-22 22:00 | $    33,290 | Cap: $    74,738 | RSI>75
  SELL | 2021-01-22 23:00 | $    32,835 | Cap: $    73,717 | VP<VAL-2%(7d)
   BUY | 2021-01-28 21:00 | $    32,578 | Cap: $    73,717 | RSI>75
  SELL | 2021-01-30 10:00 | $    34,253 | Cap: $    77,507 | RSI<30
   BUY | 2021-02-03 01:00 | $    36,140 | Cap: $    77,507 | RSI>75
  SELL | 2021-02-10 16:00 | $    44,354 | Cap: $    95,125 | RSI<30
   BUY | 2021-02-12 | $    47,969 | Cap: $    95,125 | RSI>75
  SELL | 2021-02-22 13:00 | $    53,784 | Cap: $   106,658 | RSI<30
   BUY | 2021-03-01 13:00 | $    47,914 | Cap: $   106,658 | RSI>75
  SELL | 2021-03-14 18:00 | $    59,701 | Cap: $   132,897 | RSI<30
   BUY | 2021-03-18 07:00 | $    58,910 | Cap: $   132,897 | RSI>75
  SELL | 2021-03-21 10:00 | $    55,961 | Cap: $   126,243 | RSI<30
   BUY | 2021-03-27 | $    55,026 | Cap: $   126,243 | RSI>75
  SELL | 2021-04-04 | $    57,052 | Cap: $   130,892 | RSI<30
   BUY | 2021-04-10 05:00 | $    61,074 | Cap: $   130,892 | RSI>75
  SELL | 2021-04-16 11:00 | $    60,248 | Cap: $   129,120 | RSI<30
   BUY | 2021-04-26 18:00 | $    54,035 | Cap: $   129,120 | RSI>75
  SELL | 2021-05-04 05:00 | $    55,809 | Cap: $   133,361 | RSI<30
   BUY | 2021-05-24 13:00 | $    38,211 | Cap: $   133,361 | RSI>75
  SELL | 2021-05-27 04:00 | $    37,624 | Cap: $   131,311 | RSI<30
   BUY | 2021-06-01 01:00 | $    37,798 | Cap: $   131,311 | RSI>75
  SELL | 2021-06-04 08:00 | $    36,607 | Cap: $   127,171 | RSI<30
   BUY | 2021-06-09 12:00 | $    34,972 | Cap: $   127,171 | RSI>75
  SELL | 2021-06-12 08:00 | $    35,289 | Cap: $   128,323 | RSI<30
   BUY | 2021-06-13 21:00 | $    39,250 | Cap: $   128,323 | RSI>75
  SELL | 2021-06-16 15:00 | $    38,844 | Cap: $   126,995 | RSI<30
   BUY | 2021-06-23 11:00 | $    34,218 | Cap: $   126,995 | RSI>75
  SELL | 2021-06-25 14:00 | $    32,988 | Cap: $   122,429 | RSI<30
   BUY | 2021-07-03 18:00 | $    34,764 | Cap: $   122,429 | RSI>75
  SELL | 2021-07-05 05:00 | $    34,200 | Cap: $   120,443 | RSI<30
   BUY | 2021-07-09 22:00 | $    33,871 | Cap: $   120,443 | RSI>75
  SELL | 2021-07-12 19:00 | $    33,010 | Cap: $   117,384 | RSI<30
   BUY | 2021-07-21 11:00 | $    31,385 | Cap: $   117,384 | RSI>75
  SELL | 2021-08-02 | $    39,850 | Cap: $   149,045 | RSI<30
   BUY | 2021-08-05 | $    39,723 | Cap: $   149,045 | RSI>75
  SELL | 2021-08-05 13:00 | $    38,038 | Cap: $   142,721 | RSI<30
   BUY | 2021-08-07 09:00 | $    43,454 | Cap: $   142,721 | RSI>75
  SELL | 2021-08-12 12:00 | $    44,753 | Cap: $   146,986 | RSI<30
   BUY | 2021-08-13 16:00 | $    46,357 | Cap: $   146,986 | RSI>75
  SELL | 2021-08-17 | $    45,901 | Cap: $   145,541 | RSI<30
   BUY | 2021-08-20 01:00 | $    47,140 | Cap: $   145,541 | RSI>75
  SELL | 2021-08-24 02:00 | $    48,957 | Cap: $   151,149 | RSI<30
   BUY | 2021-08-27 21:00 | $    48,895 | Cap: $   151,149 | RSI>75
  SELL | 2021-09-07 15:00 | $    47,300 | Cap: $   146,218 | RSI<30
   BUY | 2021-09-14 12:00 | $    45,974 | Cap: $   146,218 | RSI>75
  SELL | 2021-09-20 04:00 | $    45,543 | Cap: $   144,847 | RSI<30
   BUY | 2021-09-22 20:00 | $    43,385 | Cap: $   144,847 | RSI>75
  SELL | 2021-09-22 21:00 | $    43,423 | Cap: $   144,974 | VP<VAL-2%(7d)
   BUY | 2021-10-01 11:00 | $    47,081 | Cap: $   144,974 | RSI>75
  SELL | 2021-10-12 21:00 | $    55,361 | Cap: $   170,469 | RSI<30
   BUY | 2021-10-14 05:00 | $    57,987 | Cap: $   170,469 | RSI>75
  SELL | 2021-10-21 16:00 | $    62,971 | Cap: $   185,122 | RSI<30
   BUY | 2021-10-25 12:00 | $    62,759 | Cap: $   185,122 | RSI>75
  SELL | 2021-10-27 08:00 | $    59,950 | Cap: $   176,836 | RSI<30
   BUY | 2021-10-28 14:00 | $    61,591 | Cap: $   176,836 | RSI>75
  SELL | 2021-11-04 19:00 | $    60,732 | Cap: $   174,371 | RSI<30
   BUY | 2021-11-07 10:00 | $    61,971 | Cap: $   174,371 | RSI>75
  SELL | 2021-11-11 12:00 | $    65,256 | Cap: $   183,615 | RSI<30
   BUY | 2021-11-20 05:00 | $    58,487 | Cap: $   183,615 | RSI>75
  SELL | 2021-11-22 21:00 | $    55,851 | Cap: $   175,339 | VP<VAL-2%(7d)
   BUY | 2021-11-29 01:00 | $    57,766 | Cap: $   175,339 | RSI>75
  SELL | 2021-12-02 12:00 | $    56,310 | Cap: $   170,919 | RSI<30
   BUY | 2021-12-07 07:00 | $    51,148 | Cap: $   170,919 | RSI>75
  SELL | 2021-12-07 08:00 | $    50,907 | Cap: $   170,114 | VP<VAL-2%(7d)
   BUY | 2021-12-07 11:00 | $    51,309 | Cap: $   170,114 | RSI>75
  SELL | 2021-12-07 12:00 | $    51,456 | Cap: $   170,602 | VP<VAL-2%(7d)
   BUY | 2021-12-21 10:00 | $    48,592 | Cap: $   170,602 | RSI>75
  SELL | 2021-12-25 16:00 | $    50,660 | Cap: $   177,863 | RSI<30
   BUY | 2022-01-31 22:00 | $    38,410 | Cap: $   177,863 | RSI>75
  SELL | 2022-02-02 19:00 | $    37,486 | Cap: $   173,586 | RSI<30
   BUY | 2022-02-04 17:00 | $    40,269 | Cap: $   173,586 | RSI>75
  SELL | 2022-02-17 16:00 | $    41,925 | Cap: $   180,728 | RSI<30
   BUY | 2022-02-25 03:00 | $    38,800 | Cap: $   180,728 | RSI>75
  SELL | 2022-03-03 19:00 | $    42,257 | Cap: $   196,828 | RSI<30
   BUY | 2022-03-09 04:00 | $    41,218 | Cap: $   196,828 | RSI>75
  SELL | 2022-03-10 05:00 | $    39,541 | Cap: $   188,819 | RSI<30
   BUY | 2022-03-24 16:00 | $    44,000 | Cap: $   188,819 | RSI>75
  SELL | 2022-03-31 20:00 | $    45,582 | Cap: $   195,608 | RSI<30
   BUY | 2022-04-19 02:00 | $    40,750 | Cap: $   195,608 | RSI>75
  SELL | 2022-04-22 08:00 | $    40,710 | Cap: $   195,414 | RSI<30
   BUY | 2022-04-26 04:00 | $    40,535 | Cap: $   195,414 | RSI>75
  SELL | 2022-04-26 16:00 | $    38,564 | Cap: $   185,910 | RSI<30
   BUY | 2022-05-04 16:00 | $    38,973 | Cap: $   185,910 | RSI>75
  SELL | 2022-05-05 16:00 | $    36,910 | Cap: $   176,067 | RSI<30
   BUY | 2022-05-30 03:00 | $    30,217 | Cap: $   176,067 | RSI>75
  SELL | 2022-06-01 18:00 | $    30,180 | Cap: $   175,851 | RSI<30
   BUY | 2022-06-06 04:00 | $    31,251 | Cap: $   175,851 | RSI>75
  SELL | 2022-06-07 01:00 | $    30,198 | Cap: $   169,925 | RSI<30
   BUY | 2022-06-07 23:00 | $    31,260 | Cap: $   169,925 | RSI>75
  SELL | 2022-06-08 21:00 | $    30,203 | Cap: $   164,177 | VP<VAL-2%(7d)
   BUY | 2022-07-05 | $    20,237 | Cap: $   164,177 | RSI>75
  SELL | 2022-07-10 15:00 | $    20,864 | Cap: $   169,265 | RSI<30
   BUY | 2022-07-18 16:00 | $    22,676 | Cap: $   169,265 | RSI>75
  SELL | 2022-07-21 12:00 | $    22,608 | Cap: $   168,758 | RSI<30
   BUY | 2022-07-27 19:00 | $    22,554 | Cap: $   168,758 | RSI>75
  SELL | 2022-07-31 14:00 | $    23,712 | Cap: $   177,420 | RSI<30
   BUY | 2022-08-08 08:00 | $    23,808 | Cap: $   177,420 | RSI>75
  SELL | 2022-08-09 10:00 | $    23,473 | Cap: $   174,924 | RSI<30
   BUY | 2022-08-10 22:00 | $    23,958 | Cap: $   174,924 | RSI>75
  SELL | 2022-08-12 10:00 | $    23,983 | Cap: $   175,110 | RSI<30
   BUY | 2022-09-02 14:00 | $    20,266 | Cap: $   175,110 | RSI>75
  SELL | 2022-09-03 12:00 | $    19,799 | Cap: $   171,072 | RSI<30
   BUY | 2022-09-08 | $    19,293 | Cap: $   171,072 | RSI>75
  SELL | 2022-09-08 02:00 | $    19,183 | Cap: $   170,099 | VP<VAL-2%(7d)
   BUY | 2022-09-09 05:00 | $    20,361 | Cap: $   170,099 | RSI>75
  SELL | 2022-09-13 15:00 | $    21,010 | Cap: $   175,518 | RSI<30
   BUY | 2022-09-27 04:00 | $    20,099 | Cap: $   175,518 | RSI>75
  SELL | 2022-09-28 | $    19,078 | Cap: $   166,602 | RSI<30
   BUY | 2022-10-04 20:00 | $    20,220 | Cap: $   166,602 | RSI>75
  SELL | 2022-10-07 17:00 | $    19,404 | Cap: $   159,882 | RSI<30
   BUY | 2022-10-14 10:00 | $    19,649 | Cap: $   159,882 | RSI>75
  SELL | 2022-10-14 23:00 | $    19,160 | Cap: $   155,903 | RSI<30
   BUY | 2022-10-16 20:00 | $    19,375 | Cap: $   155,903 | RSI>75
  SELL | 2022-10-21 12:00 | $    18,945 | Cap: $   152,440 | RSI<30
   BUY | 2022-10-23 20:00 | $    19,500 | Cap: $   152,440 | RSI>75
  SELL | 2022-10-28 03:00 | $    20,223 | Cap: $   158,093 | RSI<30
   BUY | 2022-10-29 05:00 | $    20,680 | Cap: $   158,093 | RSI>75
  SELL | 2022-11-02 23:00 | $    20,111 | Cap: $   153,746 | RSI<30
   BUY | 2022-11-04 11:00 | $    20,655 | Cap: $   153,746 | RSI>75
  SELL | 2022-11-07 | $    20,906 | Cap: $   155,610 | RSI<30
   BUY | 2022-11-23 04:00 | $    16,585 | Cap: $   155,610 | RSI>75
  SELL | 2022-11-26 23:00 | $    16,425 | Cap: $   154,115 | RSI<30
   BUY | 2022-12-05 01:00 | $    17,216 | Cap: $   154,115 | RSI>75
  SELL | 2022-12-06 02:00 | $    17,032 | Cap: $   152,463 | RSI<30
   BUY | 2022-12-08 19:00 | $    17,248 | Cap: $   152,463 | RSI>75
  SELL | 2022-12-12 01:00 | $    16,950 | Cap: $   149,827 | RSI<30
   BUY | 2022-12-13 | $    17,209 | Cap: $   149,827 | RSI>75
  SELL | 2022-12-15 14:00 | $    17,505 | Cap: $   152,409 | RSI<30
   BUY | 2022-12-20 20:00 | $    16,901 | Cap: $   152,409 | RSI>75
  SELL | 2022-12-27 21:00 | $    16,666 | Cap: $   150,294 | RSI<30
   BUY | 2023-01-04 14:00 | $    16,828 | Cap: $   150,294 | RSI>75
  SELL | 2023-01-19 11:00 | $    20,796 | Cap: $   185,733 | RSI<30
   BUY | 2023-01-19 21:00 | $    21,102 | Cap: $   185,733 | RSI>75
  SELL | 2023-01-25 02:00 | $    22,492 | Cap: $   197,959 | RSI<30
   BUY | 2023-01-29 18:00 | $    23,591 | Cap: $   197,959 | RSI>75
  SELL | 2023-01-30 17:00 | $    23,170 | Cap: $   194,427 | RSI<30
   BUY | 2023-02-02 | $    23,731 | Cap: $   194,427 | RSI>75
  SELL | 2023-02-05 15:00 | $    23,163 | Cap: $   189,774 | RSI<30
   BUY | 2023-02-14 15:00 | $    22,247 | Cap: $   189,774 | RSI>75
  SELL | 2023-02-17 13:00 | $    23,870 | Cap: $   203,618 | RSI<30
   BUY | 2023-02-17 21:00 | $    24,821 | Cap: $   203,618 | RSI>75
  SELL | 2023-02-22 16:00 | $    23,715 | Cap: $   194,545 | RSI<30
   BUY | 2023-03-12 19:00 | $    21,075 | Cap: $   194,545 | RSI>75
  SELL | 2023-03-15 10:00 | $    24,515 | Cap: $   226,298 | RSI<30
   BUY | 2023-03-17 11:00 | $    26,706 | Cap: $   226,298 | RSI>75
  SELL | 2023-03-22 20:00 | $    26,669 | Cap: $   225,985 | RSI<30
   BUY | 2023-03-23 17:00 | $    28,465 | Cap: $   225,985 | RSI>75
  SELL | 2023-03-24 18:00 | $    27,610 | Cap: $   219,198 | RSI<30
   BUY | 2023-03-29 08:00 | $    28,087 | Cap: $   219,198 | RSI>75
  SELL | 2023-04-02 20:00 | $    27,944 | Cap: $   218,082 | RSI<30
   BUY | 2023-04-10 17:00 | $    29,037 | Cap: $   218,082 | RSI>75
  SELL | 2023-04-17 13:00 | $    29,530 | Cap: $   221,784 | RSI<30
   BUY | 2023-04-18 12:00 | $    30,381 | Cap: $   221,784 | RSI>75
  SELL | 2023-04-19 09:00 | $    29,168 | Cap: $   212,936 | RSI<30
   BUY | 2023-04-26 01:00 | $    28,300 | Cap: $   212,936 | RSI>75
  SELL | 2023-05-01 13:00 | $    28,596 | Cap: $   215,168 | RSI<30
   BUY | 2023-05-13 14:00 | $    26,821 | Cap: $   215,168 | RSI>75
  SELL | 2023-05-18 18:00 | $    26,489 | Cap: $   212,502 | RSI<30
   BUY | 2023-05-28 06:00 | $    27,165 | Cap: $   212,502 | RSI>75
  SELL | 2023-05-29 22:00 | $    27,667 | Cap: $   216,428 | RSI<30
   BUY | 2023-06-06 18:00 | $    26,669 | Cap: $   216,428 | RSI>75
  SELL | 2023-06-07 22:00 | $    26,155 | Cap: $   212,252 | RSI<30
   BUY | 2023-06-16 10:00 | $    25,596 | Cap: $   212,252 | RSI>75
  SELL | 2023-06-26 02:00 | $    30,173 | Cap: $   250,204 | RSI<30
   BUY | 2023-07-01 13:00 | $    30,564 | Cap: $   250,204 | RSI>75
  SELL | 2023-07-04 23:00 | $    30,820 | Cap: $   252,300 | RSI<30
   BUY | 2023-07-06 09:00 | $    31,330 | Cap: $   252,300 | RSI>75
  SELL | 2023-07-07 06:00 | $    30,208 | Cap: $   243,268 | RSI<30
   BUY | 2023-07-13 19:00 | $    31,255 | Cap: $   243,268 | RSI>75
  SELL | 2023-07-14 19:00 | $    30,092 | Cap: $   234,214 | RSI<30
   BUY | 2023-07-23 19:00 | $    30,248 | Cap: $   234,214 | RSI>75
  SELL | 2023-07-24 15:00 | $    29,043 | Cap: $   224,887 | RSI<30
   BUY | 2023-08-02 | $    29,706 | Cap: $   224,887 | RSI>75
  SELL | 2023-08-02 22:00 | $    29,180 | Cap: $   220,901 | RSI<30
   BUY | 2023-08-08 13:00 | $    29,579 | Cap: $   220,901 | RSI>75
  SELL | 2023-08-10 10:00 | $    29,534 | Cap: $   220,570 | RSI<30
   BUY | 2023-08-23 19:00 | $    26,463 | Cap: $   220,570 | RSI>75
  SELL | 2023-08-25 08:00 | $    25,980 | Cap: $   216,548 | RSI<30
   BUY | 2023-08-29 15:00 | $    27,492 | Cap: $   216,548 | RSI>75
  SELL | 2023-08-30 14:00 | $    27,376 | Cap: $   215,635 | RSI<30
   BUY | 2023-09-02 15:00 | $    25,866 | Cap: $   215,635 | RSI>75
  SELL | 2023-09-08 22:00 | $    25,894 | Cap: $   215,870 | RSI<30
   BUY | 2023-09-12 12:00 | $    26,099 | Cap: $   215,870 | RSI>75
  SELL | 2023-09-21 14:00 | $    26,420 | Cap: $   218,525 | RSI<30
   BUY | 2023-09-27 12:00 | $    26,767 | Cap: $   218,525 | RSI>75
  SELL | 2023-10-09 11:00 | $    27,533 | Cap: $   224,779 | RSI<30
   BUY | 2023-10-15 19:00 | $    27,056 | Cap: $   224,779 | RSI>75
  SELL | 2023-10-26 17:00 | $    33,774 | Cap: $   280,585 | RSI<30
   BUY | 2023-11-09 05:00 | $    36,705 | Cap: $   280,585 | RSI>75
  SELL | 2023-11-13 23:00 | $    36,467 | Cap: $   278,767 | RSI<30
   BUY | 2023-11-15 16:00 | $    36,402 | Cap: $   278,767 | RSI>75
  SELL | 2023-11-16 16:00 | $    36,406 | Cap: $   278,794 | RSI<30
   BUY | 2023-11-20 | $    37,360 | Cap: $   278,794 | RSI>75
  SELL | 2023-11-21 15:00 | $    36,636 | Cap: $   273,393 | RSI<30
   BUY | 2023-11-22 21:00 | $    37,616 | Cap: $   273,393 | RSI>75
  SELL | 2023-11-26 15:00 | $    37,341 | Cap: $   271,395 | RSI<30
   BUY | 2023-11-28 18:00 | $    38,211 | Cap: $   271,395 | RSI>75
  SELL | 2023-12-07 11:00 | $    43,134 | Cap: $   306,364 | RSI<30
   BUY | 2023-12-13 23:00 | $    42,962 | Cap: $   306,364 | RSI>75
  SELL | 2023-12-15 14:00 | $    42,288 | Cap: $   301,555 | VP<VAL-2%(7d)
   BUY | 2023-12-19 10:00 | $    43,037 | Cap: $   301,555 | RSI>75
  SELL | 2023-12-24 23:00 | $    42,977 | Cap: $   301,136 | RSI<30
   BUY | 2023-12-28 | $    43,429 | Cap: $   301,136 | RSI>75
  SELL | 2023-12-28 18:00 | $    42,540 | Cap: $   294,970 | RSI<30
   BUY | 2024-01-01 21:00 | $    43,688 | Cap: $   294,970 | RSI>75
  SELL | 2024-01-03 13:00 | $    42,789 | Cap: $   288,903 | RSI<30
   BUY | 2024-01-04 16:00 | $    44,051 | Cap: $   288,903 | RSI>75
  SELL | 2024-01-12 12:00 | $    45,954 | Cap: $   301,386 | RSI<30
   BUY | 2024-01-20 14:00 | $    41,633 | Cap: $   301,386 | RSI>75
  SELL | 2024-01-22 02:00 | $    41,363 | Cap: $   299,433 | VP<VAL-2%(7d)
   BUY | 2024-01-26 15:00 | $    41,588 | Cap: $   299,433 | RSI>75
  SELL | 2024-02-17 14:00 | $    51,189 | Cap: $   368,559 | RSI<30
   BUY | 2024-02-24 23:00 | $    51,557 | Cap: $   368,559 | RSI>75
  SELL | 2024-03-02 18:00 | $    61,761 | Cap: $   441,507 | RSI<30
   BUY | 2024-03-04 05:00 | $    63,634 | Cap: $   441,507 | RSI>75
  SELL | 2024-03-05 20:00 | $    61,411 | Cap: $   426,081 | RSI<30
   BUY | 2024-03-10 12:00 | $    69,568 | Cap: $   426,081 | RSI>75
  SELL | 2024-03-14 16:00 | $    70,844 | Cap: $   433,893 | RSI<30
   BUY | 2024-03-21 01:00 | $    67,656 | Cap: $   433,893 | RSI>75
  SELL | 2024-03-21 19:00 | $    65,134 | Cap: $   417,717 | RSI<30
   BUY | 2024-03-25 15:00 | $    69,377 | Cap: $   417,717 | RSI>75
  SELL | 2024-04-01 16:00 | $    68,237 | Cap: $   410,852 | RSI<30
   BUY | 2024-04-04 18:00 | $    68,849 | Cap: $   410,852 | RSI>75
  SELL | 2024-04-09 07:00 | $    70,766 | Cap: $   422,289 | RSI<30
   BUY | 2024-04-22 23:00 | $    67,028 | Cap: $   422,289 | RSI>75
  SELL | 2024-04-24 16:00 | $    64,610 | Cap: $   407,056 | RSI<30
   BUY | 2024-05-03 18:00 | $    61,806 | Cap: $   407,056 | RSI>75
  SELL | 2024-05-08 12:00 | $    62,243 | Cap: $   409,938 | RSI<30
   BUY | 2024-05-15 14:00 | $    64,146 | Cap: $   409,938 | RSI>75
  SELL | 2024-05-23 14:00 | $    68,036 | Cap: $   434,798 | RSI<30
   BUY | 2024-05-25 11:00 | $    69,388 | Cap: $   434,798 | RSI>75
  SELL | 2024-05-29 20:00 | $    67,267 | Cap: $   421,506 | RSI<30
   BUY | 2024-06-05 05:00 | $    71,169 | Cap: $   421,506 | RSI>75
  SELL | 2024-06-08 07:00 | $    69,333 | Cap: $   410,638 | RSI<30
   BUY | 2024-06-12 13:00 | $    69,339 | Cap: $   410,638 | RSI>75
  SELL | 2024-06-14 17:00 | $    65,293 | Cap: $   386,677 | VP<VAL-2%(7d)
   BUY | 2024-06-30 23:00 | $    62,901 | Cap: $   386,677 | RSI>75
  SELL | 2024-07-02 15:00 | $    62,035 | Cap: $   381,356 | RSI<30
   BUY | 2024-07-06 23:00 | $    58,106 | Cap: $   381,356 | RSI>75
  SELL | 2024-07-07 23:00 | $    56,396 | Cap: $   370,128 | RSI<30
   BUY | 2024-07-15 08:00 | $    62,840 | Cap: $   370,128 | RSI>75
  SELL | 2024-07-18 | $    64,088 | Cap: $   377,477 | RSI<30
   BUY | 2024-07-19 17:00 | $    66,419 | Cap: $   377,477 | RSI>75
  SELL | 2024-07-25 12:00 | $    64,096 | Cap: $   364,273 | RSI<30
   BUY | 2024-07-26 03:00 | $    67,014 | Cap: $   364,273 | RSI>75
  SELL | 2024-07-30 | $    66,785 | Cap: $   363,026 | RSI<30
   BUY | 2024-08-08 16:00 | $    59,428 | Cap: $   363,026 | RSI>75
  SELL | 2024-08-11 20:00 | $    59,621 | Cap: $   364,206 | RSI<30
   BUY | 2024-08-20 05:00 | $    60,866 | Cap: $   364,206 | RSI>75
  SELL | 2024-08-27 01:00 | $    62,722 | Cap: $   375,314 | RSI<30
   BUY | 2024-09-09 13:00 | $    55,341 | Cap: $   375,314 | RSI>75
  SELL | 2024-09-15 23:00 | $    59,430 | Cap: $   403,046 | RSI<30
   BUY | 2024-09-19 11:00 | $    62,320 | Cap: $   403,046 | RSI>75
  SELL | 2024-09-24 01:00 | $    62,906 | Cap: $   406,836 | RSI<30
   BUY | 2024-09-26 17:00 | $    65,338 | Cap: $   406,836 | RSI>75
  SELL | 2024-09-30 03:00 | $    64,376 | Cap: $   400,846 | RSI<30
   BUY | 2024-10-07 01:00 | $    63,678 | Cap: $   400,846 | RSI>75
  SELL | 2024-10-09 21:00 | $    60,420 | Cap: $   380,338 | RSI<30
   BUY | 2024-10-11 15:00 | $    61,754 | Cap: $   380,338 | RSI>75
  SELL | 2024-10-13 15:00 | $    62,250 | Cap: $   383,392 | RSI<30
   BUY | 2024-10-14 12:00 | $    64,920 | Cap: $   383,392 | RSI>75
  SELL | 2024-10-22 01:00 | $    67,150 | Cap: $   396,560 | RSI<30
   BUY | 2024-10-28 22:00 | $    69,791 | Cap: $   396,560 | RSI>75
  SELL | 2024-10-31 18:00 | $    70,785 | Cap: $   402,209 | RSI<30
   BUY | 2024-11-05 19:00 | $    70,230 | Cap: $   402,209 | RSI>75
  SELL | 2024-11-25 20:00 | $    94,669 | Cap: $   542,175 | RSI<30
   BUY | 2024-11-27 17:00 | $    95,689 | Cap: $   542,175 | RSI>75
  SELL | 2024-12-05 23:00 | $    96,589 | Cap: $   547,274 | VP<VAL-2%(7d)
   BUY | 2024-12-06 20:00 | $   101,440 | Cap: $   547,274 | RSI>75
  SELL | 2024-12-18 15:00 | $   104,020 | Cap: $   561,193 | RSI<30
   BUY | 2024-12-21 09:00 | $    98,650 | Cap: $   561,193 | RSI>75
  SELL | 2024-12-22 05:00 | $    96,076 | Cap: $   546,550 | RSI<30
   BUY | 2024-12-24 16:00 | $    98,300 | Cap: $   546,550 | RSI>75
  SELL | 2024-12-26 12:00 | $    95,696 | Cap: $   532,071 | RSI<30
   BUY | 2025-01-02 09:00 | $    96,150 | Cap: $   532,071 | RSI>75
  SELL | 2025-01-07 16:00 | $    97,952 | Cap: $   542,044 | RSI<30
   BUY | 2025-01-14 09:00 | $    95,489 | Cap: $   542,044 | RSI>75
  SELL | 2025-01-20 01:00 | $    99,795 | Cap: $   566,487 | RSI<30
   BUY | 2025-01-28 15:00 | $   102,642 | Cap: $   566,487 | RSI>75
  SELL | 2025-02-01 10:00 | $   101,676 | Cap: $   561,156 | RSI<30
   BUY | 2025-02-03 23:00 | $   101,696 | Cap: $   561,156 | RSI>75
  SELL | 2025-02-04 22:00 | $    96,514 | Cap: $   532,566 | RSI<30
   BUY | 2025-02-21 13:00 | $    98,904 | Cap: $   532,566 | RSI>75
  SELL | 2025-02-21 20:00 | $    95,285 | Cap: $   513,080 | RSI<30
   BUY | 2025-02-22 18:00 | $    96,639 | Cap: $   513,080 | RSI>75
  SELL | 2025-02-23 17:00 | $    95,421 | Cap: $   506,608 | RSI<30
   BUY | 2025-03-01 04:00 | $    85,331 | Cap: $   506,608 | RSI>75
  SELL | 2025-03-03 19:00 | $    87,133 | Cap: $   517,307 | RSI<30
   BUY | 2025-03-05 11:00 | $    89,926 | Cap: $   517,307 | RSI>75
  SELL | 2025-03-08 12:00 | $    85,956 | Cap: $   494,468 | RSI<30
   BUY | 2025-03-14 15:00 | $    83,525 | Cap: $   494,468 | RSI>75
  SELL | 2025-03-16 12:00 | $    82,410 | Cap: $   487,868 | RSI<30
   BUY | 2025-03-19 15:00 | $    84,319 | Cap: $   487,868 | RSI>75
  SELL | 2025-03-28 12:00 | $    85,255 | Cap: $   493,288 | RSI<30
   BUY | 2025-04-01 17:00 | $    85,120 | Cap: $   493,288 | RSI>75
  SELL | 2025-04-03 13:00 | $    81,949 | Cap: $   474,912 | RSI<30
   BUY | 2025-04-13 | $    85,277 | Cap: $   474,912 | RSI>75
  SELL | 2025-04-16 01:00 | $    83,146 | Cap: $   463,045 | RSI<30
