date,funding_rate,open_interest_usd
2021-11-10,0.0005447533333333,0.0
2021-11-11,0.00018341,0.0
2021-11-12,0.0003013933333333,0.0
2021-11-13,0.0002300533333333,0.0
2021-11-14,0.0001234033333333,0.0
2021-11-15,0.0002595333333333,0.0
2021-11-16,0.0001866599999999,0.0
2021-11-17,0.0001105166666666,0.0
2021-11-18,0.0001041166666666,0.0
2021-11-19,0.0001,0.0
2021-11-20,0.0001,0.0
2021-11-21,0.0001,0.0
2021-11-22,0.0001,0.0
2021-11-23,0.0001096566666666,0.0
2021-11-24,0.0001067,0.0
2021-11-25,0.00014404,0.0
2021-11-26,0.0001920133333333,0.0
2021-11-27,0.0001027466666666,0.0
2021-11-28,0.0001,0.0
2021-11-29,0.0001359133333333,0.0
2021-11-30,0.0001593666666666,0.0
2021-12-01,0.0001727833333333,3487149530.412202
2021-12-02,0.0001198366666666,3432640692.156678
2021-12-03,0.0001629466666666,3443242128.040543
2021-12-04,6.392666666666667e-05,2332082104.2215137
2021-12-05,9.091e-05,1984356184.268978
2021-12-06,0.0001,1938943950.4065125
2021-12-07,7.992333333333333e-05,1997099677.1034
2021-12-08,0.0001,1996931154.550875
2021-12-09,0.0001,1986528240.3628075
2021-12-10,0.0001,1997699422.7887864
2021-12-11,0.0001,1920927673.1216943
2021-12-12,0.0001,2084645021.380784
2021-12-13,0.0001,2076595357.6766293
2021-12-14,6.115000000000001e-05,2034014021.6146588
2021-12-15,0.0001,2100973201.9764965
2021-12-16,0.0001,2264723532.74383
2021-12-17,8.226e-05,2351880389.660578
2021-12-18,8.913999999999999e-05,2432987280.88669
2021-12-19,9.026666666666667e-05,2637526492.518469
2021-12-20,0.0001,2773250864.714825
2021-12-21,9.728e-05,3275342619.194364
2021-12-22,0.0001,3510617804.2077794
2021-12-23,7.912666666666667e-05,3616426895.802528
2021-12-24,0.0001,3745341020.9003015
2021-12-25,0.0001,3729395663.261683
2021-12-26,0.0001,3704949081.992492
2021-12-27,0.0001,3759208389.1085176
2021-12-28,0.0001,3603905904.2965536
2021-12-29,0.0001,3567128173.7654643
2021-12-30,0.0001,3427884573.959703
2021-12-31,5.632666666666666e-05,3446304547.58608
2022-01-01,0.0001,3496934303.8755503
2022-01-02,0.0001,3476205329.116163
2022-01-03,0.0001,3563818871.42158
2022-01-04,0.0001,3724814155.847176
2022-01-05,0.0001,3727110226.6461406
2022-01-06,0.0001,3403966772.823059
2022-01-07,0.0001,3291339003.922377
2022-01-08,0.0001,3206450754.6973248
2022-01-09,0.0001,3248852823.920624
2022-01-10,8.174e-05,3199250634.9437995
2022-01-11,9.131333333333336e-05,3254621661.2999897
2022-01-12,-1.6300000000000007e-06,3366339584.862478
2022-01-13,-1.1956666666666669e-05,3357893298.326649
2022-01-14,-5.077666666666666e-05,3268479546.127171
2022-01-15,4.9810000000000006e-05,3241869525.538995
2022-01-16,3.453333333333333e-05,3228844708.413112
2022-01-17,6.132666666666667e-05,3211064674.0771136
2022-01-18,9.999333333333336e-05,3194356232.7333417
2022-01-19,8.324333333333332e-05,3175841409.468442
2022-01-20,0.0001,3276176585.213307
2022-01-21,7.583e-05,2920458089.0979166
2022-01-22,4.357e-05,2591839301.4446034
2022-01-23,2.390333333333333e-05,2611930831.2366605
2022-01-24,4.698e-05,2613703009.8717523
2022-01-25,2.706e-05,2750112407.4443154
2022-01-26,-1.7863333333333332e-05,2921300257.391085
2022-01-27,-7.536333333333334e-05,2676854186.97946
2022-01-28,3.184e-05,2681060397.495838
2022-01-29,3.723333333333333e-06,2861103228.4909763
2022-01-30,8.392000000000001e-05,2907297497.844939
2022-01-31,-1.363333333333333e-05,2976767563.844792
2022-02-01,-1.3809999999999998e-05,3117458259.6111746
2022-02-02,3.216e-05,2993894387.391946
2022-02-03,-2.693666666666667e-05,2895849588.216596
2022-02-04,9.636666666666669e-06,3132519782.589952
